filename,workflow_name,filepath
065I3MxadQPt4vMz-Task_management_agent_with_Google_Sheets_2.json,Task management agent (with Google Sheets) 2,/home/ubuntu/upload/065I3MxadQPt4vMz-Task_management_agent_with_Google_Sheets_2.json
0IkBBzAVLgFFbj4X-customer_support.json,customer support,/home/ubuntu/upload/0IkBBzAVLgFFbj4X-customer_support.json
0N1YYrYiaXRfWo5c-Viral_Faceless_YouTube_Automation.json,Viral Faceless YouTube Automation,/home/ubuntu/upload/0N1YYrYiaXRfWo5c-Viral_Faceless_YouTube_Automation.json
1125PKHVaToNa8te-AI_Powered_Trend_Hijacker_Viral_Content_Machine.json,AI-Powered Trend Hijacker & Viral Content Machine,/home/ubuntu/upload/1125PKHVaToNa8te-AI_Powered_Trend_Hijacker_Viral_Content_Machine.json
3nQfqlvOZdZKAZtc-Scrape_New_Competitors.json,Scrape New Competitors,/home/ubuntu/upload/3nQfqlvOZdZKAZtc-Scrape_New_Competitors.json
BVgUSNQjubGHkOJ2-Course_Creator_Agent_Team.json,Course Creator Agent Team,/home/ubuntu/upload/BVgUSNQjubGHkOJ2-Course_Creator_Agent_Team.json
Dm8R3TDqmt0CKMTm-My_workflow.json,My workflow,/home/ubuntu/upload/Dm8R3TDqmt0CKMTm-My_workflow.json
IgkSzfFbzcxAgLrx-Complete_Lead_Management_System.json,Complete Lead Management System,/home/ubuntu/upload/IgkSzfFbzcxAgLrx-Complete_Lead_Management_System.json
K0oFvBzuYcFL4rKC-Advanced_Multi_Channel_Customer_Engagement_Pipeline.json,Advanced Multi-Channel Customer Engagement Pipeline,/home/ubuntu/upload/K0oFvBzuYcFL4rKC-Advanced_Multi_Channel_Customer_Engagement_Pipeline.json
KJCmB3nKFGRw7mtV-Airtable_to_Google_Sheets_Sync.json,Airtable to Google Sheets Sync,/home/ubuntu/upload/KJCmB3nKFGRw7mtV-Airtable_to_Google_Sheets_Sync.json
KrlDGP7GPIxVXL2L-AASGARD_5_0_Personal_AI_Assistant.json,AASGARD 5.0 - Personal AI Assistant,/home/ubuntu/upload/KrlDGP7GPIxVXL2L-AASGARD_5_0_Personal_AI_Assistant.json
L4rxqpFSEZssszD7-Viral_Faceless_YouTube_Automation.json,Viral Faceless YouTube Automation,/home/ubuntu/upload/L4rxqpFSEZssszD7-Viral_Faceless_YouTube_Automation.json
OqAqc1oHSlVDvRmp-SOCAIL_POST.json,SOCAIL POST,/home/ubuntu/upload/OqAqc1oHSlVDvRmp-SOCAIL_POST.json
PzuC1sGNA36OTPrB-VR_Realtor_Schedule_VR_Tour_Automation.json,VR Realtor - Schedule VR Tour Automation,/home/ubuntu/upload/PzuC1sGNA36OTPrB-VR_Realtor_Schedule_VR_Tour_Automation.json
QkTyOmagadEowtBT-Faceless_Video_Automation_System.json,Faceless Video Automation System,/home/ubuntu/upload/QkTyOmagadEowtBT-Faceless_Video_Automation_System.json
